model,phase,n_bets,staked,net_profit,roi_pct,hit_rate,mean_stake
claude,all,73.0,1519.0,-275.39,-18.13,0.329,20.8
claude,group,48.0,1074.0,-307.54,-28.63,0.333,22.4
claude,knockout,25.0,445.0,32.15,7.22,0.32,17.8
chatgpt,all,55.0,1471.0,117.95,8.02,0.509,26.7
chatgpt,group,41.0,1165.0,37.55,3.22,0.488,28.4
chatgpt,knockout,14.0,306.0,80.4,26.27,0.571,21.9
gemini,all,103.0,8660.0,321.75,3.72,0.631,84.1
gemini,group,71.0,6040.0,268.2,4.44,0.634,85.1
gemini,knockout,32.0,2620.0,53.55,2.04,0.625,81.9
grok,all,104.0,6305.0,650.1,10.31,0.673,60.6
grok,group,72.0,4585.0,54.85,1.2,0.639,63.7
grok,knockout,32.0,1720.0,595.25,34.61,0.75,53.8
