model,bin_lo,bin_hi,n,conf,acc
claude,0.3,0.4,9,0.38,0.2222
claude,0.4,0.5,23,0.4522,0.5217
claude,0.5,0.6,31,0.5571,0.7419
claude,0.6,0.7,16,0.6487,0.75
claude,0.7,0.8,16,0.7612,0.8125
claude,0.8,0.9,8,0.845,0.75
claude,0.9,1.0,1,0.92,1.0
chatgpt,0.3,0.4,11,0.3755,0.4545
chatgpt,0.4,0.5,21,0.461,0.5238
chatgpt,0.5,0.6,28,0.5446,0.7143
chatgpt,0.6,0.7,19,0.6521,0.8421
chatgpt,0.7,0.8,16,0.7438,0.75
chatgpt,0.8,0.9,8,0.8519,0.75
chatgpt,0.9,1.0,1,0.91,1.0
gemini,0.3,0.4,11,0.3791,0.4545
gemini,0.4,0.5,24,0.4505,0.5417
gemini,0.5,0.6,21,0.5589,0.619
gemini,0.6,0.7,17,0.6488,0.7059
gemini,0.7,0.8,20,0.7425,0.8
gemini,0.8,0.9,10,0.861,0.8
gemini,0.9,1.0,1,0.95,1.0
grok,0.3,0.4,9,0.3778,0.4444
grok,0.4,0.5,20,0.454,0.5
grok,0.5,0.6,23,0.5561,0.7391
grok,0.6,0.7,18,0.6433,0.7778
grok,0.7,0.8,17,0.75,0.7647
grok,0.8,0.9,16,0.8525,0.75
grok,0.9,1.0,1,0.93,1.0
