match_id,team_a,team_b,final_score_a,final_score_b,outcome,decided_by,pen_a,pen_b,advanced,advanced_team
m01,Mexico,South Africa,2,0,team_a_win,regulation,,,,
m02,Korea Republic,Czechia,2,1,team_a_win,regulation,,,,
m03,USA,Paraguay,4,1,team_a_win,regulation,,,,
m04,Canada,Bosnia and Herzegovina,1,1,draw,regulation,,,,
m05,Qatar,Switzerland,1,1,draw,regulation,,,,
m06,Brazil,Morocco,1,1,draw,regulation,,,,
m07,Haiti,Scotland,0,1,team_b_win,regulation,,,,
m08,Australia,Türkiye,2,0,team_a_win,regulation,,,,
m09,Germany,Curaçao,7,1,team_a_win,regulation,,,,
m10,Netherlands,Japan,2,2,draw,regulation,,,,
m11,Côte d'Ivoire,Ecuador,1,0,team_a_win,regulation,,,,
m12,Sweden,Tunisia,5,1,team_a_win,regulation,,,,
m13,Spain,Cabo Verde,0,0,draw,regulation,,,,
m14,IR Iran,New Zealand,2,2,draw,regulation,,,,
m15,Saudi Arabia,Uruguay,1,1,draw,regulation,,,,
m16,Belgium,Egypt,1,1,draw,regulation,,,,
m17,Austria,Jordan,3,1,team_a_win,regulation,,,,
m18,France,Senegal,3,1,team_a_win,regulation,,,,
m19,Iraq,Norway,1,4,team_b_win,regulation,,,,
m20,Argentina,Algeria,3,0,team_a_win,regulation,,,,
m21,Portugal,Congo DR,1,1,draw,regulation,,,,
m22,England,Croatia,4,2,team_a_win,regulation,,,,
m23,Ghana,Panama,1,0,team_a_win,regulation,,,,
m24,Uzbekistan,Colombia,1,3,team_b_win,regulation,,,,
m25,Mexico,Korea Republic,1,0,team_a_win,regulation,,,,
m26,Canada,Qatar,6,0,team_a_win,regulation,,,,
m27,Switzerland,Bosnia and Herzegovina,4,1,team_a_win,regulation,,,,
m28,Czechia,South Africa,1,1,draw,regulation,,,,
m29,USA,Australia,2,0,team_a_win,regulation,,,,
m30,Türkiye,Paraguay,0,1,team_b_win,regulation,,,,
m31,Brazil,Haiti,3,0,team_a_win,regulation,,,,
m32,Scotland,Morocco,0,1,team_b_win,regulation,,,,
m33,Tunisia,Japan,0,4,team_b_win,regulation,,,,
m34,Ecuador,Curaçao,0,0,draw,regulation,,,,
m35,Germany,Côte d'Ivoire,2,1,team_a_win,regulation,,,,
m36,Netherlands,Sweden,5,1,team_a_win,regulation,,,,
m37,New Zealand,Egypt,1,3,team_b_win,regulation,,,,
m38,Uruguay,Cabo Verde,2,2,draw,regulation,,,,
m39,Belgium,IR Iran,0,0,draw,regulation,,,,
m40,Spain,Saudi Arabia,4,0,team_a_win,regulation,,,,
m41,Jordan,Algeria,1,2,team_b_win,regulation,,,,
m42,Norway,Senegal,3,2,team_a_win,regulation,,,,
m43,France,Iraq,3,0,team_a_win,regulation,,,,
m44,Argentina,Austria,2,0,team_a_win,regulation,,,,
m45,Colombia,Congo DR,1,0,team_a_win,regulation,,,,
m46,Panama,Croatia,0,1,team_b_win,regulation,,,,
m47,England,Ghana,0,0,draw,regulation,,,,
m48,Portugal,Uzbekistan,5,0,team_a_win,regulation,,,,
m49,South Africa,Korea Republic,1,0,team_a_win,regulation,,,,
m50,Czechia,Mexico,0,3,team_b_win,regulation,,,,
m51,Morocco,Haiti,4,2,team_a_win,regulation,,,,
m52,Scotland,Brazil,0,3,team_b_win,regulation,,,,
m53,Bosnia and Herzegovina,Qatar,3,1,team_a_win,regulation,,,,
m54,Switzerland,Canada,2,1,team_a_win,regulation,,,,
m55,Curaçao,Côte d'Ivoire,0,2,team_b_win,regulation,,,,
m56,Ecuador,Germany,2,1,team_a_win,regulation,,,,
m57,Japan,Sweden,1,1,draw,regulation,,,,
m58,Tunisia,Netherlands,1,3,team_b_win,regulation,,,,
m59,Türkiye,USA,3,2,team_a_win,regulation,,,,
m60,Paraguay,Australia,0,0,draw,regulation,,,,
m61,New Zealand,Belgium,1,5,team_b_win,regulation,,,,
m62,Egypt,IR Iran,1,1,draw,regulation,,,,
m63,Cabo Verde,Saudi Arabia,0,0,draw,regulation,,,,
m64,Uruguay,Spain,0,1,team_b_win,regulation,,,,
m65,Senegal,Iraq,5,0,team_a_win,regulation,,,,
m66,Norway,France,1,4,team_b_win,regulation,,,,
m67,Algeria,Austria,3,3,draw,regulation,,,,
m68,Jordan,Argentina,1,3,team_b_win,regulation,,,,
m69,Colombia,Portugal,0,0,draw,regulation,,,,
m70,Congo DR,Uzbekistan,3,1,team_a_win,regulation,,,,
m71,Croatia,Ghana,2,1,team_a_win,regulation,,,,
m72,Panama,England,0,2,team_b_win,regulation,,,,
m73,South Africa,Canada,0,1,team_b_win,regulation,,,team_b,Canada
m74,Germany,Paraguay,1,1,draw,penalties,3.0,4.0,team_b,Paraguay
m75,Netherlands,Morocco,1,1,draw,penalties,2.0,3.0,team_b,Morocco
m76,Brazil,Japan,2,1,team_a_win,regulation,,,team_a,Brazil
m77,Mexico,Ecuador,2,0,team_a_win,regulation,,,team_a,Mexico
m78,France,Sweden,3,0,team_a_win,regulation,,,team_a,France
m79,Côte d'Ivoire,Norway,1,2,team_b_win,regulation,,,team_b,Norway
m80,USA,Bosnia and Herzegovina,2,0,team_a_win,regulation,,,team_a,USA
m81,Belgium,Senegal,3,2,team_a_win,regulation,,,team_a,Belgium
m82,England,Congo DR,2,1,team_a_win,regulation,,,team_a,England
m83,Switzerland,Algeria,2,0,team_a_win,regulation,,,team_a,Switzerland
m84,Portugal,Croatia,2,1,team_a_win,regulation,,,team_a,Portugal
m85,Spain,Austria,3,0,team_a_win,regulation,,,team_a,Spain
m86,Colombia,Ghana,1,0,team_a_win,regulation,,,team_a,Colombia
m87,Argentina,Cabo Verde,3,2,team_a_win,regulation,,,team_a,Argentina
m88,Australia,Egypt,1,1,draw,penalties,2.0,4.0,team_b,Egypt
m89,Paraguay,France,0,1,team_b_win,regulation,,,team_b,France
m90,Canada,Morocco,0,3,team_b_win,regulation,,,team_b,Morocco
m91,Mexico,England,2,3,team_b_win,regulation,,,team_b,England
m92,Brazil,Norway,1,2,team_b_win,regulation,,,team_b,Norway
m93,USA,Belgium,1,4,team_b_win,regulation,,,team_b,Belgium
m94,Portugal,Spain,0,1,team_b_win,regulation,,,team_b,Spain
